area_A,field_b,thirdField,groucho,harpo,chico,tot,avg_precip,item1,label2,item3
,,,,no,"no, but sort of",55,4.4,0,0,4.4
0,0,0,0,none,no,49,,0,0,0
0,0,0,43.17,saf,yes,2,,0,0,0
0,0,0,0,0,"""there is none,"" he said.",no,9,,0,0
,,,,no,no,55,1.44,0,0,1.44
0,0,0,13.94,saf,yes,45,,0,0,0
,,,,no,no,55,2.4,0,0,2.4
0,0,0,16.36,saf,yes,55,,0,0,0
0,0,0,18.99,saf,no,55,,0,0,0
0,0,0,0,foo,"none, really",no,55,,0,0
0,0,0,3.74,saf,yes,43,,0,0,0
,,,,,,,,,,
,,,,no,no,55,7.1,0,0,7.1
,,,,no,no,55,2.63,0,0,2.63
,,,,no,no,55,4,4,0,0
,,,,no,no,55,4.5,0,0,4.5
0,0,0,72.26,saf,no,43,74.44,0,0,74.44
0,0,0,109.34,saf,no,4,,0,0,0
0,0,7.42,23.78,saf,yes,1,,0,0,0
0,0,0,0,none,no,55,,0,0,0
,,,,no,no,55,18.82,0,0,18.82
0,0,0,80.16,saf,yes,3,,0,0,0
,,,,no,no,55,10.16,0,0,10.16
,,,,saf,no,1,2.18,0,0,2.18
,,,,bar,"yes, of course",no,55,2.3,0,0
0,2.75,1,196.14,saf,yes,10,,0,0,0
,,,,no,no,55,1.58,0,0,1.58
,,,,no,no,55,4,0,0,4
,,,,no,no,55,2.1,0,0,2.1
0,0,5.6,5.6,saf,yes,55,,0,0,0
0,0,0,0,no,no,55,8,0,0,8
0,49.31,0,104.45,saf,yes,3,,0,0,0
